id,genre,lead_actor_tier,writer_experience,channel,episodes,budget_billion_won,release_quarter,timeslot,is_remake,lead_actor_age,avg_rating
73,사극,5,28,지상파,16,28.7,2,주말저녁,0,31,11.29
74,스릴러,1,5,OTT,16,9.3,4,평일저녁,1,29,10.01
75,코미디,1,9,지상파,8,94.4,1,주말저녁,0,40,12.02
76,판타지,4,2,지상파,32,85.6,3,평일저녁,1,43,5.81
77,법정,4,0,OTT,24,84.1,1,주말저녁,0,50,9.05
78,로맨스,3,12,OTT,24,32.5,3,주말저녁,0,40,5.52
79,의학,5,15,지상파,8,98.7,4,평일저녁,0,48,8.93
80,판타지,1,20,OTT,20,81.1,3,평일심야,1,29,6.06
81,사극,4,18,OTT,24,15.8,1,평일저녁,0,45,8.0
82,판타지,4,15,케이블,8,77.8,3,주말심야,1,25,6.05
83,사극,4,26,케이블,16,16.6,1,주말심야,0,22,8.41
84,코미디,3,21,케이블,20,96.6,3,평일저녁,0,33,9.79
85,스릴러,1,7,케이블,12,75.8,2,평일저녁,0,21,8.75
86,판타지,2,15,OTT,16,46.5,3,평일심야,0,24,7.58
87,판타지,1,30,지상파,16,14.5,2,주말심야,0,20,10.14
88,의학,2,24,지상파,8,24.9,1,평일저녁,0,39,13.88
89,사극,2,14,케이블,16,77.4,1,평일저녁,0,32,11.21
90,사극,1,15,케이블,20,27.0,2,평일심야,0,24,10.72
91,사극,1,29,지상파,24,26.2,3,평일저녁,0,38,12.33
92,코미디,1,12,지상파,16,77.8,4,주말저녁,1,37,13.93
93,사극,4,10,지상파,8,69.8,1,평일심야,0,25,9.94
94,판타지,5,21,OTT,32,24.4,1,주말저녁,0,46,8.74
95,코미디,5,8,케이블,16,56.1,4,주말저녁,0,20,7.85
96,로맨스,4,27,OTT,8,74.6,4,주말심야,0,40,10.23
97,코미디,4,15,OTT,20,98.2,1,평일심야,0,38,8.48
98,로맨스,4,7,지상파,16,49.3,1,평일저녁,0,36,9.9
99,의학,5,22,OTT,24,25.5,4,주말저녁,0,24,11.21
100,로맨스,4,1,OTT,12,67.0,4,주말저녁,0,31,9.44
101,의학,3,24,케이블,32,94.8,3,평일저녁,0,23,7.9
102,코미디,1,30,OTT,32,65.5,1,주말저녁,0,40,7.5
103,코미디,2,19,케이블,24,7.2,2,평일저녁,0,50,9.27
104,스릴러,2,13,지상파,16,73.0,4,평일저녁,1,34,10.72
105,사극,3,14,OTT,16,7.2,2,주말저녁,0,49,10.07
106,로맨스,4,6,OTT,32,53.5,3,평일저녁,1,34,7.37
107,법정,3,28,지상파,12,62.3,3,평일심야,0,32,11.52
108,로맨스,1,16,지상파,24,41.7,1,평일저녁,0,42,12.82
109,의학,1,24,지상파,20,37.8,2,평일저녁,0,41,12.68
110,스릴러,1,0,케이블,8,24.7,1,평일저녁,0,21,9.51
111,판타지,5,12,지상파,32,94.7,1,주말저녁,0,41,12.29
112,법정,3,24,OTT,16,91.3,4,평일저녁,0,50,7.01
113,사극,1,21,케이블,16,84.6,1,주말저녁,0,43,11.48
114,사극,3,9,케이블,20,58.4,3,평일저녁,0,50,8.7
115,로맨스,5,30,케이블,12,81.7,1,주말저녁,0,23,11.27
116,스릴러,4,17,지상파,16,9.1,1,주말심야,0,28,10.54
117,법정,2,0,지상파,24,57.4,2,주말저녁,0,45,13.81
118,코미디,4,1,케이블,24,87.2,2,평일저녁,0,50,9.54
119,로맨스,1,26,지상파,16,33.3,4,평일심야,0,41,11.75
120,판타지,1,15,지상파,16,23.0,3,주말저녁,0,49,13.47
121,사극,5,13,케이블,24,90.6,1,주말저녁,0,35,9.07
122,의학,2,2,케이블,8,81.4,3,평일심야,1,35,6.16
123,사극,5,21,OTT,8,78.0,3,주말저녁,0,32,10.51
124,의학,4,16,지상파,8,76.9,4,평일심야,0,47,8.67
125,코미디,4,2,지상파,24,6.3,3,평일저녁,1,22,10.58
126,사극,2,5,케이블,16,65.1,2,주말저녁,0,24,11.18
127,의학,3,21,지상파,20,68.3,3,평일심야,0,21,11.93
128,사극,1,29,케이블,20,55.8,1,평일심야,0,42,11.79
129,코미디,3,21,OTT,16,88.6,3,평일저녁,1,45,13.61
130,의학,2,23,케이블,24,88.3,1,평일저녁,0,49,8.87
131,코미디,2,8,OTT,16,40.6,4,평일저녁,0,37,8.5
132,의학,1,28,OTT,20,97.9,4,평일심야,0,50,8.79
133,로맨스,1,13,케이블,16,13.4,4,평일저녁,0,36,11.56
134,스릴러,1,5,지상파,8,37.8,4,평일심야,0,25,7.51
135,로맨스,3,8,케이블,16,42.7,1,주말저녁,1,42,8.8
136,코미디,1,26,케이블,24,38.7,3,주말저녁,0,30,9.84
137,사극,2,18,OTT,16,82.7,1,평일저녁,0,40,12.72
138,사극,5,2,지상파,24,61.8,2,평일저녁,0,38,8.71
139,의학,1,21,케이블,16,11.0,1,평일심야,0,47,9.82
140,의학,2,22,케이블,24,50.9,1,평일저녁,0,25,10.99
141,로맨스,4,5,지상파,16,32.7,2,평일저녁,0,40,7.69
142,로맨스,4,29,OTT,12,5.6,1,주말심야,0,25,8.04
143,스릴러,4,28,케이블,24,82.9,4,주말저녁,0,38,10.68
144,의학,3,13,OTT,12,21.8,2,평일저녁,0,37,9.15
145,판타지,3,29,OTT,8,94.5,2,주말저녁,0,42,11.02
146,스릴러,4,7,지상파,8,19.2,4,주말저녁,0,42,9.51
147,로맨스,5,11,지상파,20,63.9,1,주말저녁,0,29,11.82
148,법정,2,4,지상파,32,34.6,2,주말저녁,0,28,11.15
149,코미디,3,25,지상파,20,18.5,1,주말저녁,0,50,9.38
150,의학,4,15,OTT,16,99.5,1,평일저녁,0,20,8.98
151,판타지,3,8,지상파,12,38.3,1,평일저녁,0,25,9.82
152,코미디,4,2,지상파,16,37.6,2,평일저녁,0,39,11.39
153,판타지,1,26,지상파,24,21.5,1,주말저녁,0,29,12.24
154,코미디,5,30,OTT,16,44.2,1,주말저녁,0,49,9.05
155,사극,2,5,케이블,16,10.8,4,평일심야,0,27,7.69
156,로맨스,2,27,지상파,16,62.8,3,주말저녁,1,25,12.49
157,로맨스,3,1,케이블,16,29.1,2,평일저녁,0,48,6.11
158,법정,1,19,케이블,12,30.4,3,평일저녁,0,25,11.56
159,법정,4,21,케이블,20,36.3,1,평일저녁,0,36,10.56
160,의학,5,1,케이블,20,86.2,3,평일심야,0,48,5.79
161,로맨스,3,28,지상파,20,27.6,1,평일저녁,0,43,8.26
162,판타지,4,3,지상파,24,18.9,3,평일심야,0,48,5.88
163,판타지,5,3,OTT,16,14.5,3,평일저녁,0,23,8.85
164,법정,3,8,케이블,12,16.8,1,평일저녁,1,40,9.43
165,의학,2,2,OTT,16,61.9,2,주말저녁,0,32,11.32
166,의학,1,6,OTT,8,76.9,3,평일저녁,0,32,7.21
167,스릴러,5,22,OTT,32,86.9,3,주말저녁,0,46,7.4
168,로맨스,1,17,지상파,12,74.3,3,평일저녁,0,35,11.78
169,법정,1,7,OTT,24,25.2,3,주말저녁,0,35,6.28
170,코미디,5,14,지상파,16,56.9,3,주말저녁,0,47,9.45
171,로맨스,3,2,OTT,16,23.2,1,주말저녁,0,50,7.15
172,사극,4,26,OTT,20,98.3,1,평일저녁,0,32,8.33
173,스릴러,5,13,OTT,16,43.2,3,평일저녁,0,50,7.86
174,법정,5,21,케이블,16,63.5,4,주말저녁,0,30,8.81
175,스릴러,3,27,케이블,8,18.4,1,평일저녁,0,33,9.4
176,법정,5,8,지상파,16,14.7,2,평일심야,0,28,8.09
177,스릴러,2,13,케이블,16,40.4,1,평일저녁,0,43,10.15
178,스릴러,5,14,케이블,8,6.2,3,주말저녁,0,22,8.0
179,법정,1,20,OTT,12,25.8,3,주말저녁,1,30,10.53
180,코미디,5,10,지상파,16,97.1,2,평일심야,0,27,2.99
181,의학,2,16,케이블,20,70.5,1,주말저녁,0,41,12.9
182,로맨스,1,25,케이블,16,52.6,2,평일저녁,0,31,14.18
183,스릴러,2,3,지상파,12,25.3,1,평일저녁,0,23,9.47
184,코미디,5,15,케이블,16,24.9,1,주말저녁,1,24,6.66
185,사극,1,13,지상파,24,18.2,2,평일저녁,0,50,13.12
186,스릴러,4,3,지상파,16,42.8,2,주말저녁,1,41,7.82
187,법정,5,20,OTT,12,32.5,2,평일저녁,0,47,6.23
188,의학,5,27,OTT,16,57.6,1,주말저녁,0,43,10.4
189,의학,3,15,지상파,8,30.3,1,주말저녁,0,24,8.24
190,로맨스,5,2,지상파,24,23.9,2,평일저녁,0,36,6.35
191,법정,2,21,케이블,16,61.8,3,평일저녁,0,28,9.52
192,코미디,5,3,지상파,20,99.3,1,주말저녁,0,35,9.7
193,의학,1,21,OTT,16,31.1,3,평일저녁,0,32,13.95
194,로맨스,2,27,OTT,16,99.1,3,평일심야,0,38,6.98
195,법정,1,26,케이블,8,36.8,3,평일심야,0,28,9.22
196,스릴러,3,6,케이블,16,98.0,4,평일심야,0,47,7.29
197,판타지,5,5,OTT,16,78.1,4,주말저녁,0,22,9.26
198,판타지,2,22,지상파,20,58.6,1,평일저녁,0,43,12.98
199,법정,5,12,지상파,12,92.6,1,평일심야,1,33,11.19
200,사극,5,28,지상파,20,12.0,4,주말심야,1,41,8.55
201,코미디,1,0,지상파,16,61.2,3,평일저녁,0,32,11.49
202,사극,1,3,OTT,20,32.3,4,평일저녁,1,36,8.93
203,스릴러,5,23,케이블,12,26.6,3,주말저녁,1,33,7.93
204,법정,4,1,OTT,20,27.9,4,평일저녁,0,47,6.74
205,로맨스,2,0,OTT,8,15.9,3,평일저녁,0,40,8.07
206,법정,5,26,지상파,16,17.4,3,평일심야,1,21,4.85
207,스릴러,5,3,케이블,16,45.7,3,평일저녁,0,33,7.45
208,스릴러,3,18,케이블,16,77.7,4,주말심야,0,28,6.73
209,사극,2,15,OTT,24,58.0,3,평일저녁,0,49,12.7
210,판타지,5,23,지상파,16,17.7,4,평일저녁,0,31,7.2
211,사극,4,18,지상파,16,83.2,4,평일심야,1,50,9.88
212,법정,2,18,지상파,20,79.1,2,평일심야,1,25,9.67
213,스릴러,5,16,지상파,12,68.6,1,평일저녁,0,38,11.42
214,판타지,2,28,지상파,16,18.0,1,평일저녁,0,26,9.42
215,판타지,5,8,지상파,12,42.6,1,주말심야,0,50,5.67
216,의학,1,4,OTT,8,81.7,3,주말저녁,0,47,13.74
217,법정,4,4,지상파,16,88.2,4,주말저녁,0,31,10.07
218,판타지,5,2,케이블,16,18.1,1,주말저녁,1,50,5.51
219,코미디,1,13,지상파,20,91.7,4,주말심야,0,27,8.72
220,로맨스,1,29,지상파,24,6.1,2,주말심야,0,36,8.69
221,판타지,2,25,지상파,12,36.2,2,평일저녁,0,31,16.46
222,판타지,3,16,지상파,24,16.4,3,평일심야,0,43,8.11
223,판타지,3,14,OTT,20,99.7,3,평일저녁,1,32,10.14
224,의학,3,15,지상파,16,42.3,3,평일심야,1,37,5.94
225,판타지,3,16,케이블,16,27.9,1,평일저녁,0,27,7.3
226,판타지,4,23,지상파,16,49.3,4,평일심야,0,27,8.34
227,스릴러,3,17,지상파,12,65.8,3,주말저녁,0,39,10.88
228,스릴러,2,22,지상파,16,13.2,3,평일저녁,0,32,11.16
229,로맨스,1,2,OTT,8,36.5,3,주말저녁,0,44,7.41
230,사극,2,2,케이블,16,30.4,4,주말저녁,0,30,13.11
231,코미디,3,4,OTT,12,19.3,4,주말저녁,0,29,10.18
232,판타지,2,19,OTT,20,75.9,3,주말저녁,0,43,9.61
233,사극,5,3,지상파,12,32.8,1,평일심야,0,48,7.53
234,사극,5,5,케이블,24,57.4,2,평일저녁,0,39,8.14
235,판타지,5,19,지상파,16,14.9,3,평일저녁,0,48,6.49
236,판타지,1,15,지상파,16,50.1,2,평일심야,0,43,12.47
237,법정,2,11,지상파,8,58.5,1,주말저녁,1,36,12.34
238,스릴러,5,16,지상파,12,98.7,4,평일심야,0,35,8.99
239,로맨스,3,28,케이블,16,18.1,1,평일저녁,0,47,10.0
240,로맨스,5,11,케이블,8,97.2,4,평일저녁,0,26,8.83
241,의학,4,24,지상파,16,52.6,3,주말심야,0,26,10.43
242,코미디,5,4,케이블,20,17.5,1,주말저녁,0,35,6.69
243,법정,1,26,지상파,16,8.0,2,평일저녁,1,35,11.57
244,의학,1,1,케이블,16,9.1,1,주말저녁,0,24,10.45
245,법정,5,20,케이블,16,52.9,3,주말저녁,0,38,7.4
246,스릴러,5,18,지상파,20,64.6,1,주말저녁,0,33,11.15
247,판타지,1,15,지상파,16,72.4,1,주말저녁,1,37,12.27
248,판타지,2,28,OTT,24,25.6,2,주말저녁,0,31,6.64
249,사극,3,2,케이블,24,26.2,4,주말저녁,0,41,7.36
250,법정,1,21,지상파,16,9.3,3,주말저녁,1,26,12.52
251,코미디,1,9,지상파,12,38.8,1,주말저녁,0,37,11.53
252,코미디,3,10,OTT,12,48.3,3,주말심야,0,25,6.55
253,로맨스,2,27,지상파,20,64.5,3,주말저녁,1,46,13.13
254,로맨스,4,9,케이블,8,79.6,2,주말저녁,0,32,8.37
255,사극,4,12,지상파,24,25.0,1,평일저녁,0,43,9.18
256,의학,3,21,지상파,32,51.6,4,평일저녁,1,27,11.01
257,판타지,3,18,케이블,16,98.9,1,주말심야,0,20,8.08
258,의학,5,17,지상파,32,78.7,4,주말저녁,0,23,10.31
259,판타지,1,9,케이블,16,13.0,1,평일심야,0,39,6.19
260,사극,1,20,OTT,16,58.6,3,평일저녁,0,33,12.16
261,의학,4,30,OTT,16,55.4,2,주말저녁,0,33,10.39
262,판타지,2,28,케이블,16,79.2,1,평일저녁,0,31,7.55
263,사극,4,14,케이블,16,73.4,2,평일심야,0,39,8.73
264,로맨스,2,29,지상파,16,20.4,4,평일저녁,0,27,11.68
265,법정,2,20,OTT,24,59.1,1,주말저녁,0,27,11.72
266,로맨스,5,22,케이블,16,13.1,4,평일심야,0,44,6.53
267,법정,5,25,케이블,16,11.8,2,평일심야,0,43,5.46
268,사극,1,22,지상파,8,71.5,1,평일저녁,0,47,13.29
269,스릴러,5,10,케이블,24,76.9,4,평일저녁,0,35,9.32
270,로맨스,2,14,OTT,20,74.5,4,평일저녁,0,33,12.51
271,의학,4,26,케이블,20,35.9,4,평일저녁,0,33,13.36
272,의학,2,19,케이블,24,99.7,4,주말심야,0,49,6.67
273,사극,5,5,지상파,16,51.0,1,주말저녁,1,44,10.97
274,사극,4,25,지상파,32,54.1,2,주말저녁,0,36,11.2
275,로맨스,4,17,OTT,24,73.3,2,평일심야,1,36,7.93
276,사극,1,24,케이블,8,75.5,2,평일저녁,0,23,12.28
277,사극,3,15,케이블,20,55.7,4,평일저녁,0,24,11.9
278,의학,1,6,케이블,16,58.3,4,평일심야,0,40,5.71
279,코미디,2,27,OTT,8,5.8,1,주말저녁,0,40,8.31
280,코미디,1,25,케이블,16,82.4,2,주말저녁,0,23,11.28
281,의학,5,12,OTT,24,54.6,1,평일저녁,0,28,5.56
282,사극,1,8,OTT,24,55.5,2,평일저녁,0,30,8.16
283,의학,4,19,케이블,16,93.2,2,평일심야,1,45,12.54
284,법정,5,6,지상파,24,12.8,3,평일심야,0,36,6.17
285,로맨스,5,0,케이블,20,44.6,3,평일저녁,0,37,6.49
286,법정,5,14,OTT,24,81.1,2,주말저녁,0,47,6.68
287,로맨스,1,18,케이블,16,69.4,4,주말저녁,0,49,13.42
288,로맨스,3,3,지상파,20,38.8,4,주말저녁,1,24,10.65
289,의학,2,6,케이블,20,62.4,4,평일저녁,0,31,8.05
290,의학,1,24,케이블,20,50.9,1,평일심야,0,20,9.32
291,로맨스,5,9,OTT,16,95.2,4,주말심야,0,29,6.24
292,스릴러,1,18,OTT,24,85.3,4,주말저녁,0,44,13.6
293,코미디,3,20,지상파,16,83.1,4,평일심야,1,33,8.58
294,코미디,3,7,지상파,12,26.5,1,평일저녁,0,28,6.86
295,스릴러,3,23,지상파,16,73.5,1,주말저녁,0,35,9.87
296,로맨스,4,24,지상파,16,50.3,2,주말저녁,0,26,12.77
297,법정,2,20,지상파,20,9.5,1,평일저녁,0,25,11.11
298,법정,5,26,케이블,16,67.5,4,주말심야,0,30,8.62
299,판타지,2,30,케이블,16,8.4,4,평일저녁,0,29,10.15
300,판타지,3,23,지상파,12,25.2,3,주말심야,0,27,8.65
301,법정,3,18,OTT,16,8.3,4,주말저녁,0,21,8.65
302,의학,3,6,지상파,16,95.9,4,평일저녁,0,42,11.41
303,스릴러,2,27,케이블,8,78.9,4,평일심야,0,23,9.29
304,판타지,1,5,케이블,16,93.8,4,주말저녁,0,30,7.49
305,법정,5,23,지상파,20,27.6,1,주말저녁,0,48,10.08
306,로맨스,4,4,지상파,16,69.6,3,주말저녁,0,36,10.31
307,의학,1,3,케이블,32,12.3,3,주말저녁,0,25,10.23
308,판타지,4,1,OTT,16,86.2,2,평일저녁,0,34,7.76
309,스릴러,2,22,케이블,16,49.8,2,평일저녁,0,25,11.57
310,사극,1,8,케이블,16,48.5,3,평일심야,0,21,10.92
311,의학,2,16,OTT,12,45.0,2,주말심야,0,20,7.35
312,로맨스,2,27,케이블,24,80.5,3,평일저녁,0,47,9.97
313,법정,5,23,지상파,32,70.5,1,주말저녁,0,42,13.59
314,코미디,4,5,OTT,16,60.1,3,주말저녁,0,29,6.57
315,코미디,5,16,지상파,12,95.6,2,주말저녁,0,35,12.22
316,판타지,1,21,지상파,20,99.5,4,주말저녁,0,41,14.29
317,스릴러,5,30,케이블,16,33.9,4,평일저녁,0,38,9.47
318,스릴러,2,24,OTT,8,94.0,4,평일저녁,0,38,10.16
319,코미디,5,28,OTT,20,86.2,3,주말심야,0,30,6.61
320,의학,3,19,케이블,20,59.8,4,평일저녁,0,20,8.97
321,코미디,2,23,지상파,16,72.0,1,평일심야,0,31,12.18
322,코미디,5,17,OTT,16,80.9,2,주말저녁,0,30,6.91
323,사극,5,4,OTT,20,40.8,3,주말저녁,0,35,8.47
324,판타지,1,5,지상파,16,6.8,1,평일심야,0,34,10.31
325,법정,4,6,지상파,16,13.3,1,주말저녁,0,32,10.49
326,법정,1,0,지상파,16,97.8,4,평일저녁,0,20,10.33
327,코미디,4,27,지상파,16,29.3,1,평일저녁,0,30,12.39
328,사극,3,17,지상파,20,42.3,4,주말저녁,0,49,13.6
329,사극,1,14,지상파,16,12.8,3,평일저녁,0,50,14.21
330,로맨스,4,21,지상파,24,89.9,3,평일심야,1,33,7.0
331,법정,5,8,케이블,20,72.8,2,평일저녁,1,41,6.47
332,판타지,4,22,OTT,24,70.0,4,주말저녁,0,21,8.78
333,판타지,1,8,케이블,16,44.7,3,평일저녁,0,47,9.26
334,로맨스,2,17,케이블,16,26.9,2,평일저녁,0,39,11.76
335,로맨스,1,24,OTT,12,11.4,3,평일저녁,0,27,11.28
336,의학,2,6,지상파,20,39.8,4,평일저녁,0,43,12.78
337,법정,3,30,케이블,16,99.2,2,주말저녁,0,40,12.04
338,스릴러,1,11,지상파,16,88.2,4,주말저녁,0,34,10.58
339,법정,1,20,케이블,20,83.1,4,평일저녁,0,20,11.5
340,로맨스,2,15,케이블,16,98.5,3,주말저녁,0,41,9.39
341,사극,3,24,케이블,16,52.2,1,평일저녁,0,23,12.1
342,법정,1,24,지상파,16,40.2,3,주말심야,1,32,10.56
343,법정,2,12,OTT,20,45.7,1,주말저녁,0,42,9.68
344,법정,2,10,지상파,16,99.8,4,주말심야,0,42,8.46
345,코미디,4,12,케이블,20,81.2,4,평일저녁,0,21,9.04
346,법정,3,25,지상파,20,33.6,2,주말심야,0,41,9.68
347,판타지,4,21,케이블,8,99.2,1,평일저녁,0,43,9.79
348,사극,4,5,케이블,20,59.2,3,평일저녁,0,29,5.96
349,코미디,3,21,지상파,20,16.2,1,평일저녁,0,35,9.76
350,로맨스,3,14,지상파,24,17.9,1,주말저녁,0,41,9.32
351,로맨스,4,7,OTT,20,93.8,1,주말저녁,0,47,9.01
352,의학,5,15,지상파,8,79.2,2,평일저녁,0,36,11.94
353,로맨스,3,15,지상파,24,80.7,1,주말저녁,0,27,10.45
354,판타지,2,20,OTT,24,73.6,1,주말저녁,0,47,9.06
355,법정,4,7,OTT,8,58.5,4,평일저녁,0,25,9.36
356,사극,3,4,지상파,16,88.0,2,주말저녁,1,50,10.44
357,로맨스,2,16,지상파,8,6.0,1,주말심야,0,26,6.03
358,코미디,3,6,케이블,24,37.9,1,평일저녁,0,43,8.96
359,로맨스,3,25,OTT,16,97.1,2,평일저녁,0,21,12.4
360,법정,4,24,케이블,20,22.2,1,평일저녁,0,20,9.19
361,코미디,2,11,OTT,16,98.2,3,평일저녁,0,22,9.52
362,의학,3,4,지상파,20,51.8,1,평일심야,0,46,8.95
363,코미디,2,14,케이블,32,49.0,1,평일저녁,0,46,10.7
364,사극,1,30,케이블,24,71.5,4,평일저녁,1,21,7.31
365,판타지,1,15,지상파,12,58.3,4,평일저녁,0,49,12.16
366,법정,4,26,지상파,16,56.1,3,평일저녁,0,23,9.36
367,로맨스,4,0,OTT,16,17.8,1,평일심야,0,27,5.49
368,사극,5,24,케이블,16,76.6,3,평일저녁,0,29,9.41
369,판타지,4,19,케이블,12,48.1,1,평일저녁,0,49,5.76
370,판타지,5,13,OTT,16,69.4,1,주말저녁,0,20,8.22
371,코미디,4,19,지상파,16,11.7,1,평일저녁,0,30,9.48
372,법정,4,8,지상파,16,93.6,4,평일심야,0,43,9.09
373,판타지,3,26,지상파,20,13.3,3,주말심야,1,35,6.05
374,로맨스,4,28,케이블,24,56.7,4,평일저녁,0,37,8.92
375,법정,4,30,OTT,24,62.3,4,평일저녁,1,46,8.25
376,사극,1,16,케이블,16,75.6,1,주말저녁,0,30,15.39
377,의학,1,3,지상파,24,93.7,3,평일저녁,0,38,9.12
378,코미디,1,12,지상파,16,73.9,1,주말심야,1,28,10.33
379,로맨스,5,0,케이블,24,21.4,4,주말저녁,0,47,4.83
380,법정,3,21,케이블,20,25.2,3,평일저녁,0,49,9.3
381,로맨스,1,7,지상파,20,17.4,4,평일심야,1,28,9.36
382,코미디,5,0,지상파,16,62.5,4,평일심야,0,41,7.51
383,의학,1,12,지상파,16,5.8,2,평일저녁,0,36,10.11
384,로맨스,3,27,OTT,8,95.4,3,평일심야,0,47,10.94
385,판타지,4,27,OTT,16,57.7,1,주말저녁,0,39,8.48
386,스릴러,5,11,케이블,20,78.2,2,주말저녁,0,42,8.65
387,코미디,1,8,케이블,24,86.9,4,주말저녁,0,34,11.48
388,스릴러,2,21,지상파,8,70.0,3,평일심야,0,43,10.05
389,코미디,5,18,케이블,12,66.5,3,주말저녁,0,41,13.32
