id,genre,director_tier,lead_actor_tier,production_budget,runtime_min,rating_age,release_month,is_sequel,is_imported,screen_count,box_office_grade
48,코미디,4,4,138.7,122,전체관람가,2,0,0,619,0
49,액션,3,4,7.4,161,전체관람가,3,0,0,1602,0
50,액션,1,3,241.0,146,12세,1,0,0,1874,3
51,스릴러,3,4,243.8,131,전체관람가,3,0,0,1611,1
52,로맨스,5,3,188.0,119,전체관람가,8,0,1,2117,1
53,SF,1,4,207.5,176,15세,1,0,0,1500,3
54,호러,4,3,33.8,122,15세,6,0,0,1261,0
55,호러,2,4,289.2,140,청불,12,0,0,819,0
56,스릴러,1,2,147.5,84,15세,9,1,1,210,2
57,코미디,4,2,77.8,146,15세,9,0,0,1305,0
58,호러,2,5,33.8,133,12세,2,0,0,1372,0
59,호러,2,5,157.2,95,12세,11,1,1,970,0
60,코미디,2,2,261.9,91,12세,6,0,1,1612,2
61,호러,5,2,65.2,161,12세,3,0,1,1694,0
62,호러,3,2,105.6,165,15세,11,0,0,1985,0
63,스릴러,4,2,225.6,120,12세,11,1,0,1855,3
64,액션,2,4,87.3,87,12세,12,0,1,868,2
65,로맨스,2,2,182.6,93,전체관람가,10,0,1,2034,2
66,애니메이션,1,5,109.6,86,12세,7,1,0,1661,3
67,드라마,3,4,232.2,174,15세,3,0,1,2121,2
68,스릴러,3,2,208.0,166,12세,3,1,1,367,0
69,SF,4,2,176.4,91,전체관람가,7,0,0,1790,1
70,스릴러,4,2,226.5,113,15세,8,1,1,724,1
71,코미디,4,1,44.5,102,15세,9,0,1,696,1
72,호러,5,4,47.0,158,15세,6,1,0,832,0
73,액션,5,2,251.8,162,15세,2,0,0,2132,2
74,드라마,2,2,28.9,136,15세,5,0,1,1931,1
75,액션,2,1,133.1,117,15세,4,0,0,1693,3
76,애니메이션,1,4,43.9,167,15세,5,0,1,909,1
77,애니메이션,4,5,218.8,81,15세,3,0,0,1422,1
78,스릴러,3,2,63.2,108,15세,1,0,0,649,0
79,코미디,2,3,270.9,105,15세,1,0,1,2022,2
80,액션,5,4,132.8,127,15세,5,0,0,1769,1
81,스릴러,4,1,268.5,87,12세,6,0,0,864,0
82,액션,3,5,152.7,176,12세,7,0,0,2285,2
83,코미디,3,5,223.4,149,전체관람가,5,0,1,1218,0
84,액션,3,5,5.4,156,12세,12,0,1,2360,2
85,드라마,4,1,139.2,166,12세,10,1,1,753,1
86,애니메이션,5,3,133.0,174,12세,4,0,1,2112,1
87,애니메이션,5,5,97.8,179,전체관람가,7,0,1,2249,0
88,코미디,1,3,259.9,164,15세,8,1,0,945,0
89,액션,2,3,239.9,122,전체관람가,10,0,1,383,1
90,SF,2,3,107.9,163,청불,1,0,0,988,0
91,SF,2,4,190.7,84,15세,9,0,0,1455,1
92,액션,3,3,215.9,166,전체관람가,12,0,0,1541,2
93,코미디,4,4,159.6,153,12세,10,0,1,2259,2
94,드라마,1,2,219.0,154,청불,5,0,0,713,1
95,로맨스,5,3,137.3,139,15세,7,0,0,495,0
96,로맨스,2,5,200.2,102,전체관람가,2,0,0,1223,1
97,로맨스,1,2,216.2,173,15세,7,1,1,2019,3
98,액션,2,5,106.9,130,15세,6,0,0,338,0
99,호러,3,2,134.9,153,15세,12,1,1,2219,1
100,호러,2,1,78.9,140,전체관람가,1,0,1,349,0
101,로맨스,3,3,216.8,180,12세,11,0,0,1387,0
102,드라마,5,2,78.4,97,12세,12,1,0,1463,2
103,로맨스,1,4,87.8,142,15세,9,0,0,848,1
104,로맨스,1,5,253.3,138,전체관람가,1,0,1,2351,2
105,스릴러,1,1,82.9,141,전체관람가,1,0,0,1179,2
106,로맨스,1,4,62.7,124,전체관람가,8,0,0,1162,1
107,애니메이션,1,1,20.2,143,15세,10,0,1,1302,1
108,호러,5,4,111.4,110,12세,12,0,1,842,0
109,호러,5,3,59.2,81,청불,8,0,0,575,0
110,호러,4,1,272.7,138,15세,12,0,0,2134,2
111,SF,2,1,137.0,148,15세,10,0,1,1745,1
112,애니메이션,4,3,217.6,83,전체관람가,10,0,0,148,0
113,코미디,4,2,221.3,174,15세,3,1,0,1875,1
114,로맨스,4,5,110.3,143,전체관람가,9,0,1,447,0
115,호러,4,2,50.7,99,청불,11,1,1,700,0
116,코미디,2,2,209.0,159,청불,10,0,0,297,2
117,호러,5,1,41.8,85,12세,6,1,0,2415,2
118,로맨스,3,1,157.4,90,15세,5,0,1,385,0
119,SF,2,5,78.3,83,15세,2,0,1,1779,0
120,코미디,1,5,145.8,170,15세,8,0,0,629,0
121,로맨스,3,1,39.3,103,청불,2,0,0,1771,1
122,SF,5,4,296.4,94,15세,11,1,0,704,0
123,SF,2,2,257.7,93,청불,3,1,0,1563,0
124,애니메이션,2,5,169.8,138,15세,1,0,0,276,2
125,호러,5,3,291.7,176,청불,12,1,0,2313,2
126,로맨스,5,1,15.0,125,15세,4,0,0,2158,0
127,코미디,2,4,19.0,176,15세,11,0,0,2401,1
128,로맨스,3,4,23.0,142,전체관람가,5,1,0,1889,1
129,로맨스,2,2,90.7,127,12세,8,0,0,104,1
130,코미디,4,2,104.6,173,15세,6,1,0,2017,2
131,애니메이션,3,3,188.2,90,12세,8,0,0,286,1
132,호러,5,1,68.2,159,15세,9,0,1,1075,0
133,호러,3,2,276.9,100,12세,9,0,0,1048,0
134,호러,2,5,86.4,131,12세,6,0,0,1782,1
135,SF,2,5,166.2,91,15세,3,1,0,741,0
136,SF,1,3,21.5,129,12세,3,0,0,591,0
137,로맨스,2,4,179.4,172,청불,3,0,0,1723,1
138,SF,4,3,123.2,166,15세,3,0,1,248,0
139,호러,4,1,189.4,97,청불,1,0,0,2103,1
140,SF,2,3,281.1,154,12세,1,0,0,312,3
141,액션,2,4,33.5,174,12세,1,0,0,626,1
142,코미디,2,2,1.3,144,청불,7,1,0,1207,0
143,코미디,3,3,170.2,137,12세,8,0,1,805,0
144,호러,2,3,146.0,135,전체관람가,5,0,0,1274,1
145,스릴러,2,3,13.2,140,전체관람가,9,0,0,1270,1
146,드라마,2,4,233.0,157,청불,8,0,1,1578,1
147,액션,4,2,202.2,108,12세,3,1,0,1264,2
148,드라마,3,4,35.3,174,전체관람가,8,0,1,1052,0
149,호러,5,1,88.2,125,15세,12,0,0,1188,1
150,드라마,2,4,200.5,136,12세,5,0,0,1569,2
151,애니메이션,4,2,17.8,169,청불,5,0,0,2236,0
152,애니메이션,1,4,55.0,113,15세,10,0,1,1285,1
153,로맨스,4,4,231.4,134,12세,2,0,0,2240,2
154,호러,3,1,152.9,176,15세,10,0,1,2385,3
155,액션,3,2,261.9,155,전체관람가,12,0,1,2081,3
156,코미디,3,2,139.4,140,청불,6,0,0,1644,0
157,코미디,2,5,110.0,95,15세,1,0,1,1851,2
158,애니메이션,2,4,98.9,161,15세,11,0,1,1319,2
159,드라마,3,4,161.3,125,12세,11,1,0,2164,2
160,스릴러,2,3,68.5,90,15세,7,1,1,2006,2
161,애니메이션,3,3,214.1,149,12세,1,0,1,2061,3
162,SF,4,4,177.5,146,12세,11,0,1,1821,2
163,스릴러,2,3,36.1,128,청불,11,0,0,215,0
164,호러,3,5,237.0,131,12세,1,0,1,946,0
165,코미디,4,3,281.5,180,전체관람가,7,0,0,2458,3
166,SF,1,4,280.5,113,15세,6,0,0,894,1
167,로맨스,5,2,85.8,119,전체관람가,8,0,0,1940,0
168,애니메이션,1,3,204.3,86,15세,8,1,0,1150,3
169,액션,4,2,65.2,119,15세,10,0,1,2077,2
170,드라마,1,3,32.5,162,청불,7,0,0,1285,0
171,SF,5,2,33.3,104,청불,3,0,1,2414,1
172,드라마,3,5,223.5,107,12세,12,0,0,1184,0
173,SF,4,5,205.4,93,전체관람가,12,1,0,959,1
174,드라마,3,3,238.9,166,청불,4,0,0,937,0
175,코미디,2,3,292.3,161,12세,11,1,0,208,0
176,액션,1,2,270.1,118,15세,7,1,0,1213,2
177,SF,2,4,54.4,133,15세,1,1,1,836,2
178,SF,5,4,45.9,99,15세,1,0,1,828,0
179,로맨스,2,4,115.2,170,15세,11,1,0,160,1
180,스릴러,5,1,115.3,115,전체관람가,10,0,0,1678,1
181,드라마,1,3,237.8,157,12세,3,0,0,410,1
182,스릴러,1,5,277.8,132,전체관람가,1,0,0,2100,3
183,호러,2,5,209.9,148,15세,10,0,0,1378,0
184,액션,2,2,138.3,124,15세,6,0,1,2185,1
185,SF,2,1,131.3,121,15세,11,0,0,2197,2
186,애니메이션,1,3,207.9,142,12세,11,0,1,613,1
187,로맨스,4,2,160.8,175,청불,7,0,0,214,0
188,스릴러,1,4,70.5,157,12세,10,0,0,1714,2
189,코미디,3,3,244.8,114,청불,2,0,1,1369,1
190,로맨스,1,4,285.7,80,15세,7,0,0,1406,3
191,액션,3,3,202.5,91,15세,5,0,0,2033,2
192,로맨스,3,5,286.0,166,12세,11,0,1,2484,3
193,액션,4,3,139.8,142,15세,12,1,0,1913,3
194,코미디,5,1,45.0,84,12세,2,0,1,489,0
195,애니메이션,2,2,264.6,159,15세,5,0,0,723,2
196,스릴러,1,3,224.3,122,전체관람가,11,0,1,933,1
197,코미디,5,5,181.3,117,15세,10,0,1,319,0
198,애니메이션,4,3,298.4,88,15세,10,0,1,2180,3
199,애니메이션,2,5,76.0,147,12세,10,1,1,1316,0
200,드라마,3,1,102.2,147,15세,1,0,0,142,0
201,호러,4,5,57.7,140,15세,1,0,1,995,0
202,호러,2,2,64.5,164,15세,10,0,0,2367,0
203,액션,5,5,206.7,154,12세,3,1,0,1495,1
204,드라마,3,5,264.3,102,12세,1,0,1,1761,2
205,SF,3,4,120.9,118,청불,5,0,1,1934,0
206,스릴러,4,3,152.3,166,전체관람가,4,0,0,2111,1
207,액션,3,3,286.3,170,청불,12,0,0,595,1
208,액션,1,4,245.5,169,청불,8,0,0,1958,2
209,코미디,5,3,253.6,111,전체관람가,5,0,0,1964,1
210,스릴러,3,1,156.9,86,전체관람가,12,0,0,676,2
211,로맨스,4,1,175.7,83,12세,9,0,0,1509,1
212,SF,4,3,88.8,175,15세,5,0,0,832,0
213,로맨스,4,1,2.2,151,12세,8,0,1,1255,0
214,SF,5,5,204.5,106,15세,8,0,0,621,0
215,애니메이션,5,1,276.2,161,12세,7,0,0,1521,1
216,호러,5,1,267.3,147,전체관람가,8,1,0,951,2
217,스릴러,1,5,276.7,148,15세,4,0,0,330,1
218,스릴러,5,1,35.7,91,15세,8,0,0,2354,1
219,호러,1,2,190.7,116,12세,12,0,0,518,2
220,SF,1,1,245.3,120,15세,2,0,1,519,2
221,애니메이션,3,3,176.6,91,12세,4,0,1,1584,0
222,호러,1,4,25.5,141,15세,11,0,1,1036,0
223,호러,2,2,23.8,87,12세,11,0,0,2314,2
224,드라마,2,5,244.7,93,15세,2,0,0,1371,2
225,애니메이션,2,1,170.2,112,15세,9,0,0,1772,1
226,로맨스,1,1,188.3,148,전체관람가,2,0,1,586,1
227,호러,2,4,133.0,154,15세,3,0,0,2231,2
228,로맨스,3,3,256.0,126,15세,1,0,1,310,1
229,드라마,1,4,292.7,101,12세,10,1,0,1464,2
230,로맨스,1,4,135.8,111,15세,8,0,1,445,1
231,드라마,1,1,77.0,113,청불,9,0,0,1009,0
232,SF,5,3,111.9,101,청불,7,0,1,230,0
233,스릴러,1,3,137.5,179,청불,6,1,1,1525,0
234,애니메이션,4,2,234.4,176,12세,5,0,0,660,0
235,호러,5,4,197.5,145,청불,8,0,1,865,0
236,스릴러,3,5,45.4,124,청불,12,0,1,1085,0
237,코미디,5,4,75.1,154,전체관람가,2,0,0,2343,1
238,애니메이션,1,2,299.3,127,15세,12,0,0,1033,1
239,코미디,4,4,182.3,91,15세,9,1,1,735,0
240,드라마,1,4,289.8,158,12세,7,1,0,737,1
241,액션,3,1,188.5,152,15세,5,0,1,2402,2
242,액션,3,1,143.5,169,12세,7,0,0,1684,2
243,드라마,4,2,78.1,177,청불,7,0,0,527,0
244,SF,5,2,102.4,135,15세,6,0,0,2008,1
245,드라마,3,1,108.6,105,12세,8,1,0,2153,3
246,호러,4,4,171.0,159,15세,1,1,0,1116,1
247,코미디,4,4,233.9,117,15세,8,1,1,910,0
248,코미디,3,2,70.4,180,15세,11,0,0,110,1
249,드라마,3,3,107.0,102,15세,1,0,0,1604,2
250,스릴러,5,5,96.7,179,청불,2,0,1,333,0
251,로맨스,4,5,37.0,125,12세,6,0,1,477,0
252,호러,3,4,50.5,126,12세,2,0,1,1607,0
253,액션,4,1,13.5,98,청불,8,0,1,1636,1
254,애니메이션,3,4,273.5,105,12세,2,0,0,810,1
255,스릴러,4,1,165.4,159,전체관람가,9,0,0,1777,2
256,호러,4,3,158.6,121,12세,2,0,0,2115,1
257,로맨스,2,4,205.1,164,15세,4,0,1,788,0
258,액션,1,5,229.4,117,12세,2,0,1,1813,2
259,액션,5,1,155.5,141,12세,9,1,0,1598,2
260,드라마,5,1,242.2,111,청불,4,0,0,906,1
261,애니메이션,5,5,183.0,122,15세,8,0,0,1744,1
262,로맨스,3,5,89.3,174,15세,3,0,0,1319,0
263,SF,4,2,269.2,98,전체관람가,10,0,0,1853,2
264,로맨스,2,2,96.9,157,전체관람가,8,0,0,1037,0
265,코미디,3,3,170.6,164,15세,6,0,0,742,0
266,호러,2,2,63.3,162,12세,7,0,1,2035,3
267,호러,1,4,30.8,167,15세,10,0,1,2311,2
268,코미디,1,5,257.9,179,15세,5,0,1,1040,1
269,드라마,3,3,121.9,120,15세,7,0,1,2254,3
270,드라마,4,5,142.2,177,전체관람가,9,0,0,652,0
271,코미디,1,5,33.2,98,12세,4,1,0,903,2
272,액션,4,3,83.6,148,전체관람가,1,0,1,883,1
273,액션,1,2,163.9,159,15세,3,0,1,313,3
274,SF,2,5,120.5,151,전체관람가,10,0,1,164,0
275,호러,4,2,52.7,84,청불,5,0,0,630,0
276,코미디,1,1,143.5,144,12세,6,0,1,1067,2
277,애니메이션,2,4,189.7,92,전체관람가,8,0,1,1314,0
278,코미디,3,4,112.4,132,청불,8,1,0,818,0
279,코미디,5,5,20.5,138,15세,2,0,0,608,0
280,드라마,5,4,2.3,132,청불,2,0,0,1704,0
281,스릴러,5,1,110.0,160,12세,8,1,1,1614,2
282,호러,1,4,270.0,141,15세,2,0,1,1863,2
283,로맨스,2,2,11.7,166,15세,5,0,1,519,0
284,SF,3,4,268.8,120,15세,2,0,1,364,0
285,로맨스,3,2,245.6,137,12세,2,0,0,1487,3
286,호러,3,3,138.4,117,12세,8,0,0,2466,2
287,SF,1,3,82.3,101,15세,4,1,0,1936,3
288,드라마,3,4,83.3,102,15세,8,0,0,1800,1
289,코미디,4,1,232.5,137,15세,6,0,1,2186,2
290,코미디,1,5,18.3,96,청불,5,0,0,609,0
291,호러,1,2,239.5,102,15세,5,0,0,1286,2
292,로맨스,4,2,291.9,81,전체관람가,2,0,1,1763,2
293,코미디,5,3,146.1,107,15세,6,0,1,1292,0
294,코미디,5,4,38.7,136,15세,3,0,0,256,0
295,스릴러,4,3,97.4,96,청불,6,0,1,2242,1
296,액션,2,1,294.0,108,청불,6,0,0,1030,2
297,드라마,1,5,172.5,153,12세,9,0,0,1905,2
298,스릴러,5,2,3.9,170,15세,7,0,1,451,0
299,애니메이션,2,3,152.5,134,15세,9,0,1,963,1
300,애니메이션,2,3,163.6,89,15세,10,0,1,1891,2
301,코미디,1,5,12.7,80,청불,3,0,1,1150,0
302,로맨스,2,2,284.9,155,12세,9,0,0,1856,2
303,드라마,4,1,116.9,111,전체관람가,2,0,1,1978,2
304,SF,3,1,97.0,122,12세,8,1,0,1619,3
305,스릴러,2,4,128.3,115,15세,5,1,1,2055,1
306,드라마,5,3,144.7,131,15세,7,0,0,2321,2
307,드라마,2,4,197.4,94,청불,1,0,1,2062,1
308,호러,2,3,49.8,145,전체관람가,3,0,0,2195,1
309,애니메이션,1,1,161.4,180,15세,7,0,0,663,1
310,SF,3,5,216.3,107,전체관람가,9,1,0,1159,0
311,SF,4,5,190.0,122,15세,7,0,1,668,0
312,로맨스,3,5,141.3,167,12세,3,0,0,1300,0
313,드라마,4,2,128.9,91,12세,3,0,1,740,0
314,호러,5,1,51.5,152,15세,7,0,1,296,0
315,호러,4,1,51.1,106,15세,5,0,0,1597,0
316,코미디,2,2,257.8,101,12세,2,0,0,433,1
317,SF,5,3,116.0,176,15세,5,0,1,1026,0
318,액션,3,5,63.6,118,12세,4,1,0,2204,2
319,액션,3,1,266.2,122,청불,4,0,0,2102,3
320,드라마,2,2,266.8,179,15세,11,0,1,2034,2
321,액션,5,3,189.4,126,전체관람가,12,1,1,951,2
322,로맨스,5,5,197.2,113,청불,2,0,0,2074,0
323,드라마,1,3,292.0,112,15세,9,0,0,852,1
324,애니메이션,1,2,143.3,158,15세,4,0,0,748,2
325,액션,1,3,242.3,99,전체관람가,6,0,1,222,0
326,SF,2,4,227.4,149,15세,8,0,1,835,1
327,코미디,4,5,14.9,103,전체관람가,11,0,1,1531,0
328,코미디,1,4,12.0,157,15세,10,0,0,205,0
329,애니메이션,3,4,116.2,116,전체관람가,5,1,0,865,1
330,액션,3,1,171.7,178,15세,10,0,0,2280,3
331,로맨스,5,5,92.3,113,15세,4,0,0,1909,0
332,SF,1,4,130.6,104,15세,4,0,1,2493,3
333,로맨스,2,5,266.4,102,청불,12,0,0,1084,0
334,액션,1,1,243.9,118,청불,11,0,0,1963,3
335,애니메이션,5,1,239.7,117,15세,3,0,0,134,0
336,SF,1,5,216.1,167,15세,12,1,1,1111,1
337,SF,5,4,218.8,161,12세,8,0,0,1555,1
338,드라마,3,3,136.0,81,15세,12,0,0,2286,2
339,로맨스,5,4,135.8,170,15세,2,0,0,805,0
340,SF,1,3,292.7,177,15세,10,0,1,1857,2
341,코미디,5,3,276.4,107,청불,9,0,1,1922,0
342,액션,1,1,167.7,176,15세,2,0,0,1673,3
343,액션,1,2,9.1,112,청불,12,0,1,1782,1
344,드라마,3,4,120.6,142,15세,3,0,0,2014,2
345,액션,1,3,280.9,178,청불,11,0,0,1738,2
346,액션,3,5,167.9,155,전체관람가,3,0,0,2069,2
347,드라마,2,1,286.5,121,12세,1,0,0,1972,3
348,로맨스,5,5,251.5,166,청불,1,1,1,1894,0
349,호러,3,5,92.6,118,청불,12,0,0,1051,0
350,SF,3,3,272.4,137,12세,7,0,0,1660,2
351,스릴러,4,1,111.3,113,전체관람가,4,1,1,193,0
352,애니메이션,4,3,121.4,101,전체관람가,5,0,1,974,0
353,호러,5,5,22.9,137,청불,12,1,1,1748,0
354,스릴러,4,1,87.7,155,12세,11,0,1,2455,2
355,액션,4,1,205.1,112,전체관람가,7,0,1,2308,2
356,코미디,3,5,198.6,146,전체관람가,11,0,1,1717,1
357,호러,5,3,294.4,155,15세,6,0,0,1614,0
358,호러,2,1,41.4,92,15세,8,1,0,1973,3
359,드라마,3,2,247.4,84,15세,6,0,0,509,1
360,애니메이션,2,5,109.0,104,청불,2,0,1,2180,1
361,스릴러,2,1,21.8,125,12세,10,0,0,2080,1
362,SF,3,3,227.4,88,15세,4,0,0,2253,1
363,코미디,5,4,197.1,151,12세,6,0,1,1584,1
364,액션,4,4,230.5,152,15세,1,0,0,229,0
365,호러,5,1,276.4,115,15세,11,0,0,808,0
366,SF,5,1,114.4,98,15세,12,0,0,208,0
367,SF,1,1,23.8,106,전체관람가,6,0,0,891,2
368,코미디,2,3,228.2,92,15세,7,0,1,1367,2
369,호러,2,5,145.9,93,15세,10,1,1,2422,2
370,드라마,1,3,247.7,148,15세,3,1,0,280,2
371,SF,1,2,266.0,158,15세,3,0,0,162,0
372,SF,2,2,52.2,112,15세,8,0,0,602,0
373,코미디,4,2,186.7,150,15세,2,0,1,645,0
374,액션,3,3,62.1,174,15세,5,1,0,649,0
375,로맨스,1,2,272.9,112,15세,8,0,1,335,1
376,액션,3,5,53.3,149,전체관람가,9,1,0,1907,3
377,SF,3,3,163.6,143,15세,11,1,0,1380,1
378,로맨스,5,4,41.1,107,12세,6,0,0,264,0
379,로맨스,1,4,130.1,157,15세,7,0,0,2009,1
380,스릴러,2,1,220.3,86,15세,10,1,0,1426,2
381,스릴러,4,3,271.0,178,15세,2,0,0,1294,2
382,로맨스,2,3,273.9,172,15세,6,0,0,428,0
383,로맨스,4,2,241.8,162,15세,2,0,0,159,0
384,코미디,5,5,41.0,86,12세,3,0,1,607,0
385,스릴러,1,1,252.8,167,청불,6,1,1,693,1
386,드라마,2,5,64.9,178,청불,5,0,0,226,0
387,스릴러,3,3,225.3,179,전체관람가,1,0,0,1828,2
388,액션,1,1,73.9,84,15세,9,0,1,1606,3
389,코미디,2,3,86.2,180,전체관람가,5,0,0,2051,1
390,호러,4,1,256.9,82,12세,3,0,0,563,0
391,SF,4,1,138.0,125,전체관람가,5,0,0,211,0
392,로맨스,2,1,161.5,167,15세,10,0,1,1323,2
393,액션,4,5,216.7,130,전체관람가,8,0,0,2060,1
394,액션,2,1,45.3,92,12세,3,0,0,1132,0
395,호러,4,3,276.7,104,12세,11,0,1,999,0
396,로맨스,5,1,25.0,80,15세,6,0,0,2116,0
397,호러,5,3,57.9,164,청불,11,0,1,1382,0
398,호러,3,4,58.2,155,12세,3,1,0,1883,0
399,SF,3,4,46.3,82,전체관람가,1,0,0,1761,1
400,SF,2,1,274.5,98,15세,8,0,0,2195,3
401,호러,3,5,172.4,132,15세,10,0,1,1373,0
402,코미디,1,2,160.2,170,12세,3,0,1,1886,2
403,로맨스,4,1,223.2,83,15세,6,0,0,586,0
404,SF,4,3,289.5,154,15세,1,0,1,962,2
405,애니메이션,2,3,23.7,101,12세,5,0,1,931,0
406,SF,1,1,263.2,137,15세,3,0,0,2017,3
407,로맨스,3,5,96.6,148,청불,9,0,1,1179,0
408,스릴러,4,5,56.7,169,12세,11,0,0,262,0
409,스릴러,5,2,276.6,152,전체관람가,4,0,1,810,0
410,애니메이션,5,5,133.6,155,15세,9,0,1,1756,0
411,코미디,1,5,154.0,151,전체관람가,8,0,0,854,1
412,SF,3,3,274.2,110,15세,9,0,1,1681,1
413,애니메이션,3,2,189.9,111,청불,11,0,0,1569,1
414,드라마,1,1,282.3,91,12세,6,0,0,1249,3
415,액션,2,5,171.4,143,전체관람가,10,0,0,1970,3
416,드라마,3,5,201.7,153,청불,12,0,1,2499,1
417,스릴러,3,4,219.6,139,전체관람가,4,0,0,312,1
418,스릴러,1,3,8.6,90,12세,2,0,1,790,0
419,스릴러,2,3,24.6,146,15세,7,0,0,651,1
420,액션,5,4,22.1,113,청불,7,0,0,2243,1
421,로맨스,3,1,110.8,109,12세,6,0,1,1683,0
422,호러,1,4,21.8,137,15세,5,0,1,248,0
423,스릴러,1,5,169.4,145,12세,5,0,1,2457,2
424,로맨스,4,1,263.3,119,청불,5,0,1,1426,1
425,로맨스,5,1,13.0,100,청불,3,0,0,983,0
426,로맨스,5,5,80.8,146,청불,8,1,0,1244,0
427,호러,3,4,43.3,104,12세,8,1,0,1186,2
428,스릴러,1,5,117.5,169,12세,10,1,0,1054,1
429,애니메이션,2,1,252.0,103,12세,4,1,0,1986,3
430,스릴러,4,1,254.9,167,12세,1,1,0,1598,2
431,호러,3,1,232.4,80,12세,8,0,0,855,1
432,로맨스,3,4,260.1,146,12세,2,1,0,515,1
433,액션,3,2,296.3,142,전체관람가,10,0,1,1525,1
434,애니메이션,3,4,266.8,132,15세,5,0,0,1787,3
435,로맨스,3,4,106.6,85,15세,4,0,0,2261,1
436,코미디,4,1,226.1,148,청불,12,1,1,639,1
437,로맨스,5,5,166.5,92,15세,10,0,1,1538,0
438,드라마,1,2,136.9,84,15세,9,0,0,2041,2
439,호러,5,4,83.5,90,15세,6,0,1,2402,1
440,드라마,1,5,147.2,160,12세,2,0,0,1849,3
441,스릴러,5,4,121.9,103,15세,3,0,1,744,0
442,스릴러,5,1,29.1,87,15세,1,0,1,947,0
443,코미디,1,2,257.6,174,전체관람가,1,1,0,404,1
444,애니메이션,5,3,30.0,124,15세,2,0,0,1129,1
445,애니메이션,5,5,38.0,161,15세,6,0,1,1963,0
446,SF,3,4,138.7,91,15세,9,0,0,639,0
447,스릴러,2,2,203.9,101,전체관람가,3,0,0,1350,1
448,SF,5,5,253.3,178,청불,7,1,0,1623,1
449,액션,2,3,58.1,175,15세,1,0,1,731,0
450,로맨스,5,1,279.7,90,12세,11,0,1,132,0
451,코미디,4,3,22.4,170,15세,9,1,1,2287,1
452,액션,2,2,63.0,133,12세,10,0,1,691,1
453,SF,1,2,231.8,82,12세,3,0,0,391,0
454,호러,1,2,267.7,81,15세,8,0,0,1473,2
455,스릴러,2,5,91.3,143,15세,6,0,0,1559,0
456,호러,1,1,293.3,130,12세,6,0,1,1906,3
457,스릴러,1,3,197.5,157,15세,9,0,1,828,0
458,코미디,1,4,13.9,161,12세,3,0,0,1813,0
